"AirServer Universal",False,"enterprise",emulation,"Compatible","2021.2.23(dd863c6c)",https://apps.microsoft.com/detail/9nblggh52639,,
"Algoriddim djay Pro",False,"music",native,"Compatible","5.2.9923.0",https://www.microsoft.com/store/productId/9P9RB7ZF49XK,Algoriddim_djayPro.png,
"All Video Player HD",False,"photo",emulation,"Compatible","2.3.0.0",https://apps.microsoft.com/store/detail/all-video-player-hd/9NVQ1XKBD62B,,
"ALSee",False,"photo",emulation,"Compatible","6.22.0.0",https://altools.co.kr/product/ALSEE,,
"Alzip",False,"utils-tools",emulation,"Compatible","11.7.0.2",https://apps.microsoft.com/store/detail/alzip/9WZDNCRDCT3Q,,
"Amazon Kindle",False,"books",emulation,"Compatible","2.3.1.70682",https://www.amazon.com/b?ie=UTF8&node=16571048011,,
"Amazon Music",False,"entertainment",emulation,"Compatible","9.4.3.2420a",https://www.microsoft.com/store/productId/9NMS233VM4Z9,AmazonMusic.png,
"Amazon Prime Video",True,"entertainment",native,"Compatible","1.0.148.0",https://apps.microsoft.com/detail/9p6rc76msmmj,AmazonPrimeVideo.png,
"Ambie White Noise",False,"health",native,"Compatible","4.3.0.0",https://apps.microsoft.com/detail/9p07xnm5chp0?hl=en-in&gl=IN,,
"American Airlines",False,"travel",native,"Compatible","1.1.0.2",https://apps.microsoft.com/detail/9wzdncrdcp85,,
"AMR Player",False,"audio",emulation,"Compatible","1.3",https://amrplayer.com/,,
"Anaconda",False,"dev-tools",emulation,"Compatible","2.5.2",https://www.anaconda.com/,,
"Android Studio",False,"dev-tools",emulation,"Compatible","2022.3.1.18",https://developer.android.com/studio,,
"Anghami",False,"photo",emulation,"Compatible","2.4.0",https://www.anghami.com/download,,
"Animotica - Movie Maker",False,"photo",emulation,"Compatible","4.60.2175.0",https://apps.microsoft.com/store/detail/animotica-movie-maker/9NBLGGH6FW5V,,
"Anki",False,"education",emulation,"Compatible","23.12.1",https://apps.ankiweb.net/,,
"Anydesk",False,"remote-desktop",emulation,"Compatible","V8.0.3",https://anydesk.com/en,,
"Any Player - Video, DVD",False,"entertainment",emulation,"Compatible","3.2.36",https://apps.microsoft.com/store/detail/any-dvd-free-dvd-player/9N1ZNFMT0ZF5,,
"Any Video Converter",False,"utils-tools",emulation,"Compatible","8.2.3",https://www.any-video-converter.com/download-avc-free.html,,
"Anyword",False,"utils-tools",native,"Compatible","nan",https://go.anyword.com/dashboard?fpr=sajid63,,
"Apache",False,"dev-tools",emulation,"Compatible","2.4.57",https://www.apachelounge.com/download/,,
"Apple iCloud",False,"prod",emulation,"Compatible","14.2",https://apps.microsoft.com/detail/9pktq5699m62,,
